,compound,neg,neu,pos,id
775,0.9099,0.013,0.961,0.026,Pa58DPinOCo
776,0.9995,0.056,0.779,0.165,PbKYAks6044
777,0.986,0.003,0.957,0.04,PeHzgb_MPJ8
778,0.9995,0.054,0.763,0.182,PfmFK96OpyQ
779,-0.934,0.035,0.951,0.014,Ph6VqVEaLE8
780,-0.87,0.003,0.997,0.0,PhDNvHtcI8g
781,-0.7061,0.022,0.964,0.014,PjejAbiulwM
782,1.0,0.067,0.715,0.218,PjsITicBB3M
783,0.8902,0.0,0.984,0.016,PkP8ocH7CRE
784,-0.6517,0.004,0.996,0.0,Pks9r4cXfJI
785,0.9826,0.026,0.912,0.062,PmSSy_YHpdA
786,0.9999,0.087,0.686,0.227,PnfoXCTKLws
787,-0.9969,0.084,0.901,0.015,PqCkQzXGNs8
788,-0.6645,0.006,0.994,0.0,PujhRV1EEsY
789,-0.4122,0.004,0.994,0.002,Pxk40s8yrfw
790,0.0,0.0,1.0,0.0,PyxcYzYXqs0
791,0.9998,0.092,0.763,0.145,Pz74Y6-m4M4
792,0.9938,0.006,0.953,0.041,Q4NsmkrzuM8
793,1.0,0.037,0.832,0.131,Q6-tYpWp0Ck
794,0.9173,0.0,0.972,0.028,Q7TyUTBjc0Q
795,1.0,0.063,0.691,0.245,QDP6tCC8zTo
796,0.8386,0.013,0.965,0.022,QDttVFIIbEg
797,0.0,0.0,1.0,0.0,QGQvgNC3VPY
798,0.5574,0.0,0.998,0.002,QHf11efb2DA
799,0.0,0.0,1.0,0.0,QJ3plCVFO50
800,0.9992,0.093,0.756,0.151,QMAq8F8N2Fg
801,0.9988,0.076,0.733,0.19,QOQdsewdGTs
802,0.9677,0.022,0.94,0.038,QS4h65-36dU
803,-0.9086,0.062,0.891,0.047,QSBnsNIc3Qg
804,0.0,0.0,1.0,0.0,QScLrZPgiZ8
805,0.9979,0.018,0.945,0.037,QVXmBQeHfRE
806,0.0,0.0,1.0,0.0,QWjqO6F1IVo
807,-0.9994,0.062,0.913,0.025,QY9zWlmSGhg
808,0.952,0.008,0.964,0.028,QYVbVLk8Geo
809,0.9997,0.077,0.72,0.204,QYjonePRKhA
810,-0.9989,0.054,0.925,0.021,Q_nOwBKqn9s
811,0.0,0.0,1.0,0.0,QeEZ1d_qImI
812,0.8254,0.021,0.952,0.027,QeRPKBa9ldI
813,-0.9994,0.061,0.927,0.011,Qoju6bP8Cmw
814,-0.9991,0.057,0.925,0.017,QpAdbTNFUsw
815,0.0,0.0,1.0,0.0,Qqbc018HRZ8
816,0.9987,0.0,0.938,0.062,Qr0XpJ3GQS4
817,0.9652,0.012,0.949,0.038,QsjHV9AM1lI
818,0.999,0.03,0.71,0.26,R3fD4CF8fMc
819,0.9999,0.051,0.806,0.144,R9nnKIfS9yY
820,0.9602,0.0,0.977,0.023,RAk_9JsHNP0
821,0.7147,0.0,0.988,0.012,RBFfd3C6vNs
822,0.9985,0.035,0.928,0.037,RC3DbdcsO6A
823,-0.9974,0.074,0.893,0.033,RC7fq4r92As
824,0.9996,0.002,0.869,0.129,RFIfywkmLQE
825,0.6412,0.0,0.995,0.005,RFjYS2Kvqs4
826,-0.9977,0.087,0.895,0.019,RGDK_RN-1i4
827,0.9994,0.012,0.857,0.131,RHT9szFTJRk
828,0.9605,0.0,0.995,0.005,RIACY3pReds
829,0.9175,0.002,0.985,0.013,RL8nQYpCYkY
830,0.981,0.0,0.982,0.018,RNHtPKwhju4
831,0.9934,0.01,0.937,0.052,RNg0E2-nHv4
832,0.9883,0.013,0.957,0.029,RPwnRCaL_2k
833,0.9997,0.037,0.769,0.194,RRv_IJSQweM
834,0.9964,0.007,0.915,0.077,RUvPtMUAXM0
835,0.8867,0.016,0.958,0.026,RV6tdh-SySw
836,0.0,0.0,1.0,0.0,RW-7j9f9d4U
837,0.9961,0.011,0.952,0.037,RYOcmJa6byc
838,0.9861,0.038,0.891,0.071,R_TIVDP-hp4
839,0.9839,0.005,0.958,0.038,Ra0FP7wh7r4
840,0.9987,0.035,0.873,0.092,RacxNskxySo
841,0.9863,0.025,0.936,0.039,Rfqrzt186iM
842,-0.7999,0.035,0.933,0.032,RjAKl60BlNU
843,1.0,0.133,0.695,0.172,RjPjdw8Dro4
844,0.9942,0.015,0.942,0.044,RjdIp-PYuLU
845,-1.0,0.108,0.875,0.018,Rjg9YGuKCuw
846,-0.6935,0.029,0.94,0.031,RmNtQ9X0DNg
847,0.9749,0.043,0.889,0.068,RnAtb6mvqM4
848,0.9896,0.006,0.949,0.045,RnS2ytrlZ0Y
849,0.9667,0.041,0.899,0.06,RsjyorIc9-U
850,-0.9886,0.028,0.962,0.011,RuERKS4DDL8
851,0.9991,0.098,0.765,0.138,RxAtuMu_ph4
852,0.9999,0.033,0.713,0.253,RxNlPJi4eaE
853,-0.967,0.062,0.886,0.051,RxRgW00I8ks
854,-0.9965,0.051,0.942,0.008,RxSpktsoXj4
855,0.8772,0.018,0.958,0.024,S03fKxedsbA
856,0.0,0.0,1.0,0.0,S0zOqDtXC9g
857,0.9892,0.0,0.946,0.054,S1--V7ST-3k
858,0.9174,0.0,0.993,0.007,S12xN5CoTkQ
